ID,Type,SKU,Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?",Stock,"Low stock amount","Backorders allowed?","Sold individually?","Weight (kg)","Length (cm)","Width (cm)","Height (cm)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position,"Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global","Attribute 2 name","Attribute 2 value(s)","Attribute 2 visible","Attribute 2 global"
696,simple,,"Black Ceramic Palmistry Hand Ornament",1,0,visible,"This cool take on a classic palmistry hand features metallic gold astrology symbols representing the Sun, Moon, Venus, Mars, Jupiter, Saturn and Mercury and mystical 'Your fate is in your hands' text. Can be used to hold rings and other accessories or on its own as a fun conversation piece.",,,,taxable,,1,18,,0,0,,20,10,5.5,1,,,20,"Home Decor > Décor, Home Decor",,,"https://www.eclecticcharge.com/wp-content/uploads/2021/04/Black-Ceramic-Palmistry-Hand-Ornament-1.jpg, https://www.eclecticcharge.com/wp-content/uploads/2021/04/Black-Ceramic-Palmistry-Hand-Ornament-2.jpg",,,,,,,,,0,Color,Black,1,1,Material,"New Bone China",1,1
698,simple,,"White Ceramic Palmistry Hand Ornament",1,0,visible,"This cool take on a classic palmistry hand features metallic gold astrology symbols representing the Sun, Moon, Venus, Mars, Jupiter, Saturn and Mercury and mystical 'Your fate is in your hands' text. Can be used to hold rings and other accessories or on its own as a fun conversation piece.",,,,taxable,,1,17,,0,0,,20,10,5.5,1,,,20,"Home Decor > Décor, Home Decor",,,"https://www.eclecticcharge.com/wp-content/uploads/2021/04/White-Ceramic-Palmistry-Hand-Ornament-1.jpg, https://www.eclecticcharge.com/wp-content/uploads/2021/04/White-Ceramic-Palmistry-Hand-Ornament-2.jpg, https://www.eclecticcharge.com/wp-content/uploads/2021/04/White-Ceramic-Palmistry-Hand-Ornament-3.jpg",,,,,,,,,0,Color,White,1,1,Material,"New Bone China",1,1
702,simple,,"Black Talking Board Trinket Dish",1,0,visible,"This ceramic trinket dish is inspired by a classic talking board and is the perfect size for holding jewelry and other small accessories.",,,,taxable,,backorder,,,0,0,.2,11.5,17,2,1,,,10.00,"Home Decor > Décor, Home Decor",,,"https://www.eclecticcharge.com/wp-content/uploads/2021/04/Black-Talking-Board-Trinket-Dish-1.jpg, https://www.eclecticcharge.com/wp-content/uploads/2021/04/Black-Talking-Board-Trinket-Dish-2.jpg",,,,,,,,,0,Color,Black,1,1,Material,"New Bone China",1,1
703,simple,,"Black Triple Moon Cut Out Oil Burner",1,0,visible,"This black ceramic oil burner features a cutout triple moon design and a cool, matt finish. Compatible with both fragrance oil and wax and perfect for Halloween or spooky décor!",,,,taxable,,0,,,0,0,.3,10,9,9,1,,,15,"Home Decor > Décor, Home Decor",,,"https://www.eclecticcharge.com/wp-content/uploads/2021/04/Black-Triple-Moon-Cut-Out-Oil-Burner-1.jpg, https://www.eclecticcharge.com/wp-content/uploads/2021/04/Black-Triple-Moon-Cut-Out-Oil-Burner-2.jpg, https://www.eclecticcharge.com/wp-content/uploads/2021/04/Black-Triple-Moon-Cut-Out-Oil-Burner-3.jpg",,,,,,,,,0,Color,Black,1,1,Material,Ceramic,1,1
705,simple,,"Hamsa Incense Holder Plate",1,0,visible,"Eye-catching incense stick holder plate with an intricate Hamsa design. This item has an antique copper effect finish and can hold one incense stick at a time.",,,,taxable,,1,10,,0,0,.218,2.5,12.5,12.5,1,,,20,"Meditative > Incense, Meditative",,,"https://www.eclecticcharge.com/wp-content/uploads/2021/04/Hamsa-Incense-Plate-1.jpg, https://www.eclecticcharge.com/wp-content/uploads/2021/04/Hamsa-Incense-Plate-2.jpg",,,,,,,,,0,Color,"Antique Copper",1,1,Material,Resin,1,1
707,simple,,"Chakra and Buddha Incense Holder",1,0,visible,"Antique bronze effect incense stick holder featuring the seven colours of the Chakra and a meditating Buddha. A striking and unique design that will make a great home decor ornament as much as a home scenting accessory.",,,,taxable,,1,3,,0,0,.411,23.5,6.5,7,1,,,25.00,"Meditative > Incense, Meditative",,,"https://www.eclecticcharge.com/wp-content/uploads/2021/04/Chakra-and-Buddha-Incense-Holder-3.jpg, https://www.eclecticcharge.com/wp-content/uploads/2021/04/Chakra-and-Buddha-Incense-Holder-2.jpg, https://www.eclecticcharge.com/wp-content/uploads/2021/04/Chakra-and-Buddha-Incense-Holder-1.jpg, https://www.eclecticcharge.com/wp-content/uploads/2021/04/Chakra-and-Buddha-Incense-Holder-4.jpg",,,,,,,,,0,Color,"Antique Bronze",1,1,Material,Resin,1,1
718,simple,,"Fortune Telling Ceramic Teacup",1,0,visible,"A stunning and unique tea cup to be used for reading tea leaves. Features a variety of fortune telling and astrological symbols accented by gold foil, a contrasting black saucer, and mystical 'Mysterious things I see when telling fortunes in tea' text. Comes with an informative leaflet. Truly a piece to be treasured.",,,,taxable,,1,19,,0,0,,18,18,18,1,,,30.00,"Home Decor > Dishware, Home Decor",,,"https://www.eclecticcharge.com/wp-content/uploads/2021/04/Fortune-Telling-Ceramic-Teacup-1.jpg, https://www.eclecticcharge.com/wp-content/uploads/2021/04/Fortune-Telling-Ceramic-Teacup-2.jpg",,,,,,,,,0,Color,"Black, Cream",1,1,Material,"New Bone China",1,1
721,simple,,"Flower of Life Altar Table",1,0,visible,"This beautifully finished altar table features a stunning Flower of Life design carved into mango wood. The removable legs are screwed onto the base during assembly to provide a robust and sturdy table. The intricate design and secure construction make this a great décor piece for the home.",,,,taxable,,0,,,0,0,3,23,30,30,1,,,60,"Magick Supplies > Altar Supplies, Magick Supplies",,,"https://www.eclecticcharge.com/wp-content/uploads/2021/04/Large-Flower-of-Life-Altar-Table-1.jpg, https://www.eclecticcharge.com/wp-content/uploads/2021/04/Large-Flower-of-Life-Altar-Table-2.jpg",,,,,,,,,0,Material,Wood,1,1,,,,
724,simple,,"Pentagram Altar Table",1,0,visible,"This beautifully finished altar table features a stunning pentagram design carved into mango wood. The removable legs are screwed onto the base during assembly to provide a robust and sturdy table. The intricate design and secure construction make this a great décor piece for the home.",,,,taxable,,0,,,0,0,3,23,30,30,1,,,60,"Magick Supplies > Altar Supplies, Magick Supplies",,,"https://www.eclecticcharge.com/wp-content/uploads/2021/04/Large-Pentagram-Altar-Table-1.jpg, https://www.eclecticcharge.com/wp-content/uploads/2021/04/Large-Pentagram-Altar-Table-2.jpg",,,,,,,,,0,Material,Wood,1,1,,,,
726,simple,,"Triple Moon Altar Table",1,0,visible,"This beautifully finished altar table features a stunning Triple Moon design carved into mango wood. The removable legs are screwed onto the base during assembly to provide a robust and sturdy table. The intricate design and secure construction make this a great décor piece for the home.",,,,taxable,,0,,,0,0,3,23,30,30,1,,,60,"Magick Supplies > Altar Supplies, Magick Supplies",,,"https://www.eclecticcharge.com/wp-content/uploads/2021/04/Large-Triple-Moon-Altar-Table-1.jpg, https://www.eclecticcharge.com/wp-content/uploads/2021/04/Large-Triple-Moon-Altar-Table-2.jpg",,,,,,,,,0,Material,Wood,1,1,,,,
727,simple,,"Triquetra Altar Table",1,0,visible,"Crafted from wood this traditional altar table features a Triquetra design.",,,,taxable,,0,,,0,0,2.055,21.1,30,30,1,,,60,"Magick Supplies > Altar Supplies, Magick Supplies",,,"https://www.eclecticcharge.com/wp-content/uploads/2021/04/Large-Triquetra-Altar-Table-1.jpg, https://www.eclecticcharge.com/wp-content/uploads/2021/04/Large-Triquetra-Altar-Table-2.jpg, https://www.eclecticcharge.com/wp-content/uploads/2021/04/Large-Triquetra-Altar-Table-3.jpg",,,,,,,,,0,Material,Wood,1,1,,,,
731,simple,,"Metatrons Cube Altar Cloth",1,0,visible,"This black and gold altar cloth features a Metatron's Cube design which is a symbol that represents balance in the universe and the journey of energy making it a popular choice for creating crystal grids.",,,,taxable,,0,,,0,0,.06,60,60,.1,1,,,20.00,"Magick Supplies > Altar Cloth, Magick Supplies",,,https://www.eclecticcharge.com/wp-content/uploads/2021/04/Metatrons-Cube-Altar-Cloth-1.jpg,,,,,,,,,0,Color,"Black, Gold",1,1,Material,Fabric,1,1
734,simple,,"Pack of 12 Black 'Protection' Spell Candles",1,0,visible,"Pack of 12 black spell candles for use with rituals to attract protection. Candle magic is one of the simplest forms of spell casting in which the caster decides on a goal, visualizes the end result and focuses intent or will to manifest that result.",,,,taxable,,1,5,,0,0,.11,10.3,7.3,2.5,1,,,11.00,"Magick Supplies > Candles, Magick Supplies",,,"https://www.eclecticcharge.com/wp-content/uploads/2021/04/Pack-of-12-Black-Protection-Spell-Candles-1.jpg, https://www.eclecticcharge.com/wp-content/uploads/2021/04/Pack-of-12-Black-Protection-Spell-Candles-2.jpg, https://www.eclecticcharge.com/wp-content/uploads/2021/04/Pack-of-12-Black-Protection-Spell-Candles-3.jpg, https://www.eclecticcharge.com/wp-content/uploads/2021/04/Pack-of-12-White-Happiness-Spell-Candles-4.jpg",,,,,,,,,0,Material,Wax,1,1,,,,
739,simple,,"Pack of 12 Blue 'Wisdom' Spell Candles",1,0,visible,"Pack of 12 dark blue spell candles for use with rituals to attract wisdom. Candle magic is one of the simplest forms of spell casting in which the caster decides on a goal, visualizes the end result and focuses intent or will to manifest that result.",,,,taxable,,1,5,,0,0,.11,10.3,7.3,2.5,1,,,11.00,"Magick Supplies > Candles, Magick Supplies",,,"https://www.eclecticcharge.com/wp-content/uploads/2021/04/Pack-of-12-Blue-Wisdom-Spell-Candles-1.jpg, https://www.eclecticcharge.com/wp-content/uploads/2021/04/Pack-of-12-Blue-Wisdom-Spell-Candles-2.jpg, https://www.eclecticcharge.com/wp-content/uploads/2021/04/Pack-of-12-Blue-Wisdom-Spell-Candles-3.jpg",,,,,,,,,0,Material,Wax,1,1,,,,
740,simple,,"Pack of 12 Green 'Luck' Spell Candles",1,0,visible,"Pack of 12 green spell candles for use with rituals to attract luck, money and even fertility. Candle magic is one of the simplest forms of spell casting in which the caster decides on a goal, visualizes the end result and focuses intent or will to manifest that result.",,,,taxable,,0,,,0,0,.11,10.3,7.3,2.5,1,,,11.00,"Magick Supplies > Candles, Magick Supplies",,,"https://www.eclecticcharge.com/wp-content/uploads/2021/04/Pack-of-12-Green-Luck-Spell-Candles-1.jpg, https://www.eclecticcharge.com/wp-content/uploads/2021/04/Pack-of-12-Green-Luck-Spell-Candles-2.jpg, https://www.eclecticcharge.com/wp-content/uploads/2021/04/Pack-of-12-Green-Luck-Spell-Candles-3.jpg",,,,,,,,,0,Material,Wax,1,1,,,,
741,simple,,"Pack of 12 Light Blue 'Peace' Spell Candles",1,0,visible,"Pack of 12 light blue spell candles for use with rituals to attract peace. Candle magic is one of the simplest forms of spell casting in which the caster decides on a goal, visualizes the end result and focuses intent or will to manifest that result.",,,,taxable,,1,5,,0,0,.11,10.3,7.3,2.5,1,,,11.00,"Magick Supplies > Candles, Magick Supplies",,,"https://www.eclecticcharge.com/wp-content/uploads/2021/04/Pack-of-12-Light-Blue-Peace-Spell-Candles-1-1.jpg, https://www.eclecticcharge.com/wp-content/uploads/2021/04/Pack-of-12-Light-Blue-Peace-Spell-Candles-2-1.jpg, https://www.eclecticcharge.com/wp-content/uploads/2021/04/Pack-of-12-Light-Blue-Peace-Spell-Candles-3-1.jpg",,,,,,,,,0,Material,Wax,1,1,,,,
745,simple,,"Pack of 12 Mixed Spell Candles",1,0,visible,"Pack of 12 mixed spell candles containing these colors; 2x black, 2x white, 1x purple, 1x dark blue, 1x light blue, 1x orange, 1x green, 1x red, 1x yellow and 1x pink candle. Made from paraffin wax.",,,,taxable,,1,5,,0,0,.11,10.3,7.3,2.5,1,,,11.00,"Magick Supplies > Candles, Magick Supplies",,,"https://www.eclecticcharge.com/wp-content/uploads/2021/04/Pack-of-12-Mixed-Spell-Candles-1.jpg, https://www.eclecticcharge.com/wp-content/uploads/2021/04/Pack-of-12-Mixed-Spell-Candles-2.jpg, https://www.eclecticcharge.com/wp-content/uploads/2021/04/Pack-of-12-Mixed-Spell-Candles-3.jpg, https://www.eclecticcharge.com/wp-content/uploads/2021/04/Pack-of-12-White-Happiness-Spell-Candles-4.jpg",,,,,,,,,0,Material,Wax,1,1,,,,
746,simple,,"Pack of 12 Orange 'Confidence' Spell Candles",1,0,visible,"Pack of 12 orange spell candles for use with rituals to attract confidence, ambition and creativity. Candle magic is one of the simplest forms of spell casting in which the caster decides on a goal, visualizes the end result and focuses intent or will to manifest that result.",,,,taxable,,1,5,,0,0,.11,10.3,7.3,2.5,1,,,11.00,"Magick Supplies > Candles, Magick Supplies",,,"https://www.eclecticcharge.com/wp-content/uploads/2021/04/Pack-of-12-Orange-Confidence-Spell-Candles-1.jpg, https://www.eclecticcharge.com/wp-content/uploads/2021/04/Pack-of-12-Orange-Confidence-Spell-Candles-2.jpg, https://www.eclecticcharge.com/wp-content/uploads/2021/04/Pack-of-12-Orange-Confidence-Spell-Candles-3.jpg",,,,,,,,,0,Material,Wax,1,1,,,,
747,simple,.11,"Pack of 12 Pink 'Friendship' Spell Candles",1,0,visible,"Pack of 12 pink spell candles for use with rituals to attract friendship, emotional well-being and matters of the heart. Candle magic is one of the simplest forms of spell casting in which the caster decides on a goal, visualizes the end result and focuses intent or will to manifest that result.",,,,taxable,,0,,,0,0,,10.3,7.3,2.5,1,,,11.00,"Magick Supplies > Candles, Magick Supplies",,,"https://www.eclecticcharge.com/wp-content/uploads/2021/04/Pack-of-12-Pink-Friendship-Spell-Candles-1.jpg, https://www.eclecticcharge.com/wp-content/uploads/2021/04/Pack-of-12-Pink-Friendship-Spell-Candles-3.jpg, https://www.eclecticcharge.com/wp-content/uploads/2021/04/Pack-of-12-Pink-Friendship-Spell-Candles-2.jpg",,,,,,,,,0,Material,Wax,1,1,,,,
748,simple,,"Pack of 12 Purple 'Prosperity' Spell Candles",1,0,visible,"Pack of 12 purple spell candles for use with rituals for prosperity, ambition and power. Candle magic is one of the simplest forms of spell casting in which the caster decides on a goal, visualizes the end result and focuses intent or will to manifest that result.",,,,taxable,,1,5,,0,0,.11,10.3,7.3,2.5,1,,,11.00,"Magick Supplies > Candles, Magick Supplies",,,"https://www.eclecticcharge.com/wp-content/uploads/2021/04/Pack-of-12-Purple-Prosperity-Spell-Candles-1.jpg, https://www.eclecticcharge.com/wp-content/uploads/2021/04/Pack-of-12-Purple-Prosperity-Spell-Candles-2.jpg, https://www.eclecticcharge.com/wp-content/uploads/2021/04/Pack-of-12-Purple-Prosperity-Spell-Candles-3.jpg",,,,,,,,,0,Material,Wax,1,1,,,,
749,simple,,"Pack of 12 Red 'Love' Spell Candles",1,0,visible,"Pack of 12 red spell candles for use with rituals to attract love, sex and vitality. Candle magic is one of the simplest forms of spell casting in which the caster decides on a goal, visualizes the end result and focuses intent or will to manifest that result.",,,,taxable,,0,,,0,0,.11,10.3,7.3,2.5,1,,,11.00,"Magick Supplies > Candles, Magick Supplies",,,"https://www.eclecticcharge.com/wp-content/uploads/2021/04/Pack-of-12-Red-Love-Spell-Candles-1.jpg, https://www.eclecticcharge.com/wp-content/uploads/2021/04/Pack-of-12-Red-Love-Spell-Candles-2.jpg, https://www.eclecticcharge.com/wp-content/uploads/2021/04/Pack-of-12-Red-Love-Spell-Candles-3.jpg",,,,,,,,,0,Material,Wax,1,1,,,,
750,simple,,"Pack of 12 White 'Happiness' Spell Candles",1,0,visible,"Pack of 12 white spell candles for use with rituals to attract happiness, new beginnings and spiritual growth. Candle magic is one of the simplest forms of spell casting in which the caster decides on a goal, visualizes the end result and focuses intent or will to manifest that result.",,,,taxable,,1,5,,0,0,.11,10.3,7.3,2.5,1,,,11.00,"Magick Supplies > Candles, Magick Supplies",,,"https://www.eclecticcharge.com/wp-content/uploads/2021/04/Pack-of-12-White-Happiness-Spell-Candles-1.jpg, https://www.eclecticcharge.com/wp-content/uploads/2021/04/Pack-of-12-White-Happiness-Spell-Candles-2.jpg, https://www.eclecticcharge.com/wp-content/uploads/2021/04/Pack-of-12-White-Happiness-Spell-Candles-3.jpg, https://www.eclecticcharge.com/wp-content/uploads/2021/04/Pack-of-12-White-Happiness-Spell-Candles-4.jpg",,,,,,,,,0,Material,Wax,1,1,,,,
751,simple,,"Pack of 6 Blue Beeswax Spell Candles",1,0,visible,"A box of 6 blue Blessed Bee beeswax candles useful for spellwork involving protection and wisdom. Light, natural scent. Approximate burn time of 1 hour.",,,,taxable,,0,,,0,0,.056,11,5.5,3,1,,,13.00,"Magick Supplies > Candles, Magick Supplies",,,"https://www.eclecticcharge.com/wp-content/uploads/2021/04/Pack-of-6-Blue-Beeswax-Spell-Candles-1.jpg, https://www.eclecticcharge.com/wp-content/uploads/2021/04/Pack-of-6-Blue-Beeswax-Spell-Candles-2.jpg, https://www.eclecticcharge.com/wp-content/uploads/2021/04/Pack-of-6-Blue-Beeswax-Spell-Candles-3.jpg",,,,,,,,,0,Material,Wax,1,1,,,,
753,simple,,"Pack of 12 Yellow 'Success' Spell Candles",1,0,visible,"Pack of 12 yellow spell candles for use with rituals to attract success, focus and intuition. Candle magic is one of the simplest forms of spell casting in which the caster decides on a goal, visualizes the end result and focuses intent or will to manifest that result.",,,,taxable,,0,,,0,0,.11,10.3,7.3,2.5,1,,,11.00,"Magick Supplies > Candles, Magick Supplies",,,"https://www.eclecticcharge.com/wp-content/uploads/2021/04/Pack-of-12-Yellow-Success-Spell-Candles-1.jpg, https://www.eclecticcharge.com/wp-content/uploads/2021/04/Pack-of-12-Yellow-Success-Spell-Candles-2.jpg, https://www.eclecticcharge.com/wp-content/uploads/2021/04/Pack-of-12-Yellow-Success-Spell-Candles-3.jpg",,,,,,,,,0,Material,Wax,1,1,,,,
754,simple,,"Pack of 6 Brown Beeswax Spell Candles",1,0,visible,"A box of 6 brown Blessed Bee beeswax candles useful for spellwork involving stability and family. Light, natural scent. Approximate burn time of 1 hour.\n\n100% linen wick. Non-toxic. Do not ingest.",,,,taxable,,1,5,,0,0,.056,11,5.5,3,1,,,13.00,"Magick Supplies > Candles, Magick Supplies",,,"https://www.eclecticcharge.com/wp-content/uploads/2021/04/Pack-of-6-Brown-Beeswax-Spell-Candles-1.jpg, https://www.eclecticcharge.com/wp-content/uploads/2021/04/Pack-of-6-Brown-Beeswax-Spell-Candles-2.jpg, https://www.eclecticcharge.com/wp-content/uploads/2021/04/Pack-of-6-Brown-Beeswax-Spell-Candles-3.jpg",,,,,,,,,0,Material,Wax,1,1,,,,
755,simple,,"Pack of 6 Green Beeswax Spell Candles",1,0,visible,"A box of 6 green Blessed Bee beeswax candles useful for spellwork involving luck and vitality. Light, natural scent. Approximate burn time of 1 hour\n\n100% linen wick. Non-toxic. Do not ingest.",,,,taxable,,1,5,,0,0,.056,11,5.5,3,1,,,13.00,"Magick Supplies > Candles, Magick Supplies",,,"https://www.eclecticcharge.com/wp-content/uploads/2021/04/Pack-of-6-Green-Beeswax-Spell-Candles-1.jpg, https://www.eclecticcharge.com/wp-content/uploads/2021/04/Pack-of-6-Green-Beeswax-Spell-Candles-2.jpg, https://www.eclecticcharge.com/wp-content/uploads/2021/04/Pack-of-6-Green-Beeswax-Spell-Candles-3.jpg",,,,,,,,,0,Material,Wax,1,1,,,,
756,simple,,"Pack of 6 Orange Beeswax Spell Candles",1,0,visible,"A box of 6 orange Blessed Bee beeswax candles useful for spellwork involving confidence and power. Light, natural scent. Approximate burn time of 1 hour.\n\n100% linen wick. Non-toxic. Do not ingest.",,,,taxable,,1,5,,0,0,.056,11,5.5,3,1,,,13.00,"Magick Supplies > Candles, Magick Supplies",,,"https://www.eclecticcharge.com/wp-content/uploads/2021/04/Pack-of-6-Orange-Beeswax-Spell-Candles-1.jpg, https://www.eclecticcharge.com/wp-content/uploads/2021/04/Pack-of-6-Orange-Beeswax-Spell-Candles-2.jpg, https://www.eclecticcharge.com/wp-content/uploads/2021/04/Pack-of-6-Orange-Beeswax-Spell-Candles-3.jpg",,,,,,,,,0,Material,Wax,1,1,,,,
757,simple,,"Pack of 6 Pink Beeswax Spell Candles",1,0,visible,"A box of 6 pink Blessed Bee beeswax candles useful for spellwork involving love and friendship. Light, natural scent. Approximate burn time of 1 hour.\n\n100% linen wick. Non-toxic. Do not ingest.",,,,taxable,,1,5,,0,0,.056,11,5.5,3,1,,,13.00,"Magick Supplies > Candles, Magick Supplies",,,"https://www.eclecticcharge.com/wp-content/uploads/2021/04/Pack-of-6-Pink-Beeswax-Spell-Candles-1.jpg, https://www.eclecticcharge.com/wp-content/uploads/2021/04/Pack-of-6-Pink-Beeswax-Spell-Candles-2.jpg, https://www.eclecticcharge.com/wp-content/uploads/2021/04/Pack-of-6-Pink-Beeswax-Spell-Candles-3.jpg",,,,,,,,,0,Material,Wax,1,1,,,,
